"Protein_A","Protein_B","Abd_A","Abd_B","Colony_Size"
"AAR2","LSM1","2.55",1066,23584
"ABD1","TAF2","18.4","8.01",21605
"ABD1","ECM4","18.4","21.9",21005
"ABD1","RNR2","18.4",352,21044
"ABF2","UBP6",640,126,21573
"ABF2","YCS4",640,"2.11",21784
"ABF2","NTF2",640,486,21616
"ABF2","ARF3",640,"35.9",21254
"ABF2","TPK2",640,"61.4",21436
"ABF2","LSM1",640,1066,28920
"ACA1","SAC7",316,"14.5",23986
"ACA1","ERR1",316,"80.4",27965
"ACA1","ECM4",316,"21.9",31245
"ACA1","DBP5",316,156,23730
"ACB1","ARC40",1369,"78.7",30046
"ACB1","SEC27",1369,151,25957
"ACB1","ADE17",1369,351,38238
"ACB1","ALO1",1369,104,28338
"ACB1","ARC15",1369,161,20811
"ACB1","VMA7",1369,289,24584
"ACB1","VMA8",1369,122,39560
"ACB1","HUG1",1369,"1.82",32604
"ACB1","LYS1",1369,135,22124
"ACB1","ARF3",1369,"35.9",20824
"ACB1","CHC1",1369,178,21733
"ACB1","SEC26",1369,105,25507
"ACB1","ARO8",1369,343,51773
"ACB1","GLN1",1369,430,55084
"ACB1","VAS1",1369,324,48567
"ACB1","OYE2",1369,647,40099
"ACB1","VMA4",1369,907,40450
"ACB1","IPP1",1369,1633,50898
"ACB1","HSP12",1369,1942,27146
"ACB1","CYS4",1369,734,26860
"ACB1","RNR1",1369,120,32658
"ACB1","RNR2",1369,352,36148
"ACB1","MET13",1369,"27.3",23984
"ACB1","HEF3",1369,355,58083
"ACB1","SWE1",1369,"75.1",34412
"ACB1","ATG1",1369,10,35973
"ACB1","MBF1",1369,1007,30096
"ACB1","UBA1",1369,284,38390
"ACB1","RTN1",1369,542,21090
"ACB1","AGP1",1369,"10.6",41891
"ACB1","OST1",1369,"52.8",22447
"ACE2","ECM4","6.67","21.9",23163
"ACF2","YHR078W","7.4",109,21925
"ACH1","ERR1",549,"80.4",21819
"ACH1","YHR078W",549,109,21540
"ACP1","ARF3",320,"35.9",20139
"ACS1","YAT1",115,"16.7",28675
"ADE16","ADE17",187,351,82177
"ADE16","VMA8",187,122,23746
"ADE16","AAT2",187,474,27722
"ADE16","REG1",187,"57.5",36797
"ADE16","HUG1",187,"1.82",22860
"ADE16","ADE16",187,187,96118
"ADE16","ARO8",187,343,40381
"ADE16","GLN1",187,430,31047
"ADE16","VAS1",187,324,39527
"ADE16","VMA4",187,907,24914
"ADE16","IPP1",187,1633,29979
"ADE16","HSP12",187,1942,28743
"ADE16","CAR2",187,308,29579
"ADE16","CYS4",187,734,25136
"ADE16","RNR1",187,120,34888
"ADE16","RNR2",187,352,20910
"ADE16","SAH1",187,1129,20375
"ADE17","ARC40",351,"78.7",20121
"ADE17","SEC27",351,151,30121
"ADE17","BNA3",351,"69.6",21644
"ADE17","SRO9",351,441,22345
"ADE17","BUD20",351,"78.8",20974
"ADE17","ADE17",351,351,75037
"ADE17","YNL247W",351,149,24708
"ADE17","ALO1",351,104,26322
"ADE17","VMA8",351,122,31099
"ADE17","ADE16",351,187,57639
"ADE17","URA4",351,110,20561
"ADE17","YDC1",351,"10.1",22844
"ADE17","YLR257W",351,141,20483
"ADE17","ARO8",351,343,47804
"ADE17","GLN1",351,430,38537
"ADE17","VAS1",351,324,47355
"ADE17","OYE2",351,647,35688
"ADE17","VMA4",351,907,27563
"ADE17","IPP1",351,1633,37617
"ADE17","HSP12",351,1942,20096
"ADE17","CAR2",351,308,20343
"ADE17","RNR1",351,120,22456
"ADE17","MET13",351,"27.3",33527
"ADE17","SAH1",351,1129,25048
"ADE4","ADE4",140,140,133108
"ADE4","BNA3",140,"69.6",21695
"ADE4","ALO1",140,104,24613
"ADE4","ALG7",140,394,57821
"ADE4","DBP5",140,156,20760
"ADE4","ARO8",140,343,29311
"ADE4","GLN1",140,430,53913
"ADE4","VAS1",140,324,22608
"ADE4","VMA4",140,907,27539
"ADE4","IPP1",140,1633,24718
"ADE4","CYS4",140,734,39071
"ADE4","RNR1",140,120,35418
"ADE4","RNR2",140,352,36111
"ADE4","SAH1",140,1129,38735
"ADH1","SNT1",9310,"5.68",20914
"ADH4","RPN3","73.9","75.8",22196
"ADH4","SWI6","73.9","33.6",23365
"ADH5","SAM50",163,"13.5",20322
"ADH5","ARO8",163,343,25856
"ADH5","UBA1",163,284,20617
"ADP1","AGP1","18.2","10.6",31272
"ADR1","TAF2","11.2","8.01",25086
"AEP3","MSH2",544,"13.7",20682
"AEP3","FAR11",544,"2.96",22166
"AFG2","AFG2","20.2","20.2",37158
"AFR1","KAR2",339,649,21699
"AFR1","SET5",339,"14.0",20644
"AFR1","RIM11",339,"35.7",21678
"AFR1","ADK2",339,"2.36",20577
"AFR1","YHR078W",339,109,21940
"AFR1","TAF2",339,"8.01",21572
"AFR1","SAM50",339,"13.5",21696
"AFR1","DBP5",339,156,27584
"AFT1","RIX7","4.58","30.2",26520
"AFT1","SAM50","4.58","13.5",28427
"AFT1","DBP5","4.58",156,26128
"AFT2","URE2",255,"27.6",22365
"AGE2","CHC1","76.8",178,44413
"AGP2","PMC1","1.44","14.7",24073
"AGP2","RFS1","1.44",125,31407
"AGP2","ERR1","1.44","80.4",20894
"AGP2","AGP1","1.44","10.6",22459
"AKR1","SFT2","13.8","24.8",50980
"AKR1","YCR043C","13.8","15.1",52843
"AKR1","GTT1","13.8",112,22331
"AKR1","NEO1","13.8","7.74",25862
"AKR1","PEP1","13.8","26.4",21934
"AKR1","RET2","13.8",125,28384
"AKR1","PIN2","13.8","11.3",25985
"AKR1","RBD2","13.8","22.4",96592
"AKR1","TVP15","13.8","17.1",68867
"AKR1","TVP38","13.8","2.18",30286
"AKR1","AKR1","13.8","13.8",101286
"AKR1","ATG27","13.8","39.3",37664
"AKR1","YCK1","13.8","42.9",30976
"AKR1","KEX1","13.8","21.9",55172
"AKR1","ARF1","13.8",797,44337
"AKR1","BSC6","13.8","7.35",37469
"AKR1","COG3","13.8","11.9",29822
"AKR1","ARF2","13.8",727,20536
"AKR1","YML018C","13.8",881,23193
"AKR1","DOS2","13.8","43.6",57360
"AKR1","YBR241C","13.8","3.09",30131
"AKR1","RNR2","13.8",352,25433
"AKR1","GAP1","13.8","11.9",44559
"AKR1","VRG4","13.8","11.8",57216
"AKR1","PMR1","13.8","35.7",21490
"AKR1","CHO1","13.8","37.3",26787
"AKR1","AGP1","13.8","10.6",45512
"AKR1","OST1","13.8","52.8",46137
"AKR1","SPF1","13.8",108,42554
"ALD3","VTA1","99.4","29.2",21509
"ALD3","PDE2","99.4","10.7",22500
"ALD3","SWI5","99.4","6.35",25023
"ALD3","ECM4","99.4","21.9",21814
"ALG11","CHO1","16.3","37.3",31192
"ALG11","AGP1","16.3","10.6",46138
"ALG11","OST1","16.3","52.8",36910
"ALG11","SPF1","16.3",108,24042
"ALG12","KAR2","8.39",649,30384
"ALG6","SEC61","1.78","72.4",23674
"ALG6","GAP1","1.78","11.9",47710
"ALG6","AGP1","1.78","10.6",85970
"ALG6","SAC1","1.78",137,44982
"ALG6","SPF1","1.78",108,69919
"ALG8","PRP5","1.97",677,20191
"ALO1","FUN14",104,"5.45",84770
"ALO1","GTT1",104,112,39063
"ALO1","ADE17",104,351,26437
"ALO1","ALO1",104,104,220787
"ALO1","YDR381C-A",104,"21.6",110339
"ALO1","HUG1",104,"1.82",26268
"ALO1","TOM20",104,140,109304
"ALO1","EHT1",104,126,34768
"ALO1","UIP4",104,"17.6",31319
"ALO1","ARF1",104,797,44198
"ALO1","QCR9",104,"80.0",69559
"ALO1","CWP2",104,"15.8",26153
"ALO1","ARF2",104,727,22763
"ALO1","KES1",104,232,29463
"ALO1","DBP5",104,156,26623
"ALO1","ARO8",104,343,39920
"ALO1","GLN1",104,430,48799
"ALO1","VAS1",104,324,23874
"ALO1","OYE2",104,647,32559
"ALO1","IPP1",104,1633,30271
"ALO1","HSP12",104,1942,27851
"ALO1","CAR2",104,308,21129
"ALO1","CYS4",104,734,43644
"ALO1","RNR1",104,120,24080
"ALO1","RNR2",104,352,68109
"ALO1","SAH1",104,1129,29474
"ALO1","UBA1",104,284,21317
"ALO1","CRP1",104,278,67798
"AMD1","AMD1","41.6","41.6",53080
"AMN1","ECM4","1.04","21.9",20825
"AMS1","SAM50","23.5","13.5",20273
"ANT1","PEX11","22.4","64.6",44705
"ANT1","ECM4","22.4","21.9",24084
"AOS1","RPB5","31.8",173,21626
"APC11","SAM50","1.13","13.5",27157
"APC5","SAM50","2.02","13.5",20519
"APC9","ECM4","1.14","21.9",24290
"APC9","RNR1","1.14",120,28688
"APC9","RNR2","1.14",352,95051
"APL4","GGA2","16.0",109,30145
"APL4","APL2","16.0","17.2",37928
"APL4","APL4","16.0","16.0",29663
"APL4","APS1","16.0","3.33",22600
"APL4","CHC1","16.0",178,33547
"APL4","ENT3","16.0",179,33583
"APL6","CHS5","22.7","90.9",32005
"APL6","APL6","22.7","22.7",69536
"APL6","APL5","22.7","23.6",56929
"APL6","MBF1","22.7",1007,29162
"APM1","APL2","18.2","17.2",30827
"APM1","APL4","18.2","16.0",22484
"APM1","APS1","18.2","3.33",20283
"APM3","APM3","13.2","13.2",23665
"APM3","APL5","13.2","23.6",33100
"APP1","ERR1",831,"80.4",24361
"APP1","SAM50",831,"13.5",22750
"APS1","APL4","3.33","16.0",66231
"AQR1","TAF2",611,"8.01",20558
"ARC18","ARC40",140,"78.7",49320
"ARC18","SEC27",140,151,25757
"ARC18","VRP1",140,"69.8",31885
"ARC18","LAS17",140,"19.4",21164
"ARC18","ARC18",140,140,68861
"ARC18","ARC19",140,"93.9",25522
"ARC18","INO1",140,108,21619
"ARC18","VMA8",140,122,22449
"ARC18","HUG1",140,"1.82",24395
"ARC18","YGL242C",140,170,20036
"ARC18","CHC1",140,178,29377
"ARC18","MYO5",140,"45.1",29401
"ARC18","ARO8",140,343,27811
"ARC18","GLN1",140,430,29392
"ARC18","OYE2",140,647,26697
"ARC18","VMA4",140,907,20061
"ARC18","IPP1",140,1633,35023
"ARC18","CYS4",140,734,23852
"ARC18","RNR1",140,120,24149
"ARC19","ARC40","93.9","78.7",50585
"ARC19","VRP1","93.9","69.8",56283
"ARC19","LAS17","93.9","19.4",27626
"ARC19","HUG1","93.9","1.82",25888
"ARC19","SRV2","93.9",255,29789
"ARC19","ECM4","93.9","21.9",22012
"ARC19","ARO8","93.9",343,27489
"ARC19","VAS1","93.9",324,21981
"ARC19","OYE2","93.9",647,20890
"ARC19","VMA4","93.9",907,21345
"ARC19","IPP1","93.9",1633,26264
"ARC19","RNR2","93.9",352,22136
"ARC35","ARC40",132,"78.7",96180
"ARC35","VRP1",132,"69.8",42182
"ARC35","ARC35",132,132,21065
"ARC35","LAS17",132,"19.4",27603
"ARC35","ARC18",132,140,37172
"ARC35","ARC19",132,"93.9",86662
"ARC35","ARO8",132,343,24970
"ARC35","VAS1",132,324,26939
"ARC35","OYE2",132,647,21487
"ARC35","CYS4",132,734,27249
"ARC35","RNR1",132,120,20777
"ARE2","UME1","7.89","32.3",20526
"ARE2","COG2","7.89","7.37",21345
"ARE2","TAF2","7.89","8.01",20344
"ARE2","ECM4","7.89","21.9",23913
"ARF1","SEC27",797,151,25279
"ARF1","YCR043C",797,"15.1",21958
"ARF1","HXT1",797,"46.7",39364
"ARF1","LEM3",797,"26.3",48634
"ARF1","ALO1",797,104,45453
"ARF1","RET2",797,125,38895
"ARF1","QDR2",797,"7.54",32635
"ARF1","RBD2",797,"22.4",96901
"ARF1","TPO2",797,"30.3",24321
"ARF1","TPO3",797,"25.7",29676
"ARF1","TVP15",797,"17.1",22397
"ARF1","VPS68",797,"11.3",28629
"ARF1","AKR1",797,"13.8",41190
"ARF1","ATG27",797,"39.3",22831
"ARF1","KEX1",797,"21.9",21183
"ARF1","ARF1",797,797,129879
"ARF1","CDC50",797,"4.02",26190
"ARF1","YBL029C-A",797,"39.5",28208
"ARF1","BSC6",797,"7.35",46687
"ARF1","BAP2",797,"32.1",27717
"ARF1","ARF2",797,727,32893
"ARF1","CPR8",797,"2.67",31224
"ARF1","DIP5",797,"10.7",22351
"ARF1","YBR241C",797,"3.09",29599
"ARF1","SWE1",797,"75.1",30308
"ARF1","GAP1",797,"11.9",152512
"ARF1","VRG4",797,"11.8",92802
"ARF1","HXT3",797,142,62628
"ARF1","HXT7",797,124,122683
"ARF1","CHO1",797,"37.3",33545
"ARF1","AGP1",797,"10.6",45819
"ARF1","CRP1",797,278,30204
"ARF1","OST1",797,"52.8",56970
"ARF1","CAN1",797,"4.97",79920
"ARF3","PRP5","35.9",677,21649
"ARF3","PEX11","35.9","64.6",34883
"ARF3","RAD7","35.9","5.6",21134
"ARF3","ALG5","35.9","7.13",21814
"ARF3","ADH4","35.9","73.9",24023
"ARF3","NDE2","35.9","17.8",23060
"ARF3","DPH5","35.9",101,20199
"ARF3","ARF3","35.9","35.9",21155
"ARF3","YBL029C-A","35.9","39.5",22132
"ARF3","LSM1","35.9",1066,20323
"ARF3","MGM1","35.9","22.5",25180
"ARF3","HXT3","35.9",142,20181
"ARF3","CRP1","35.9",278,28809
"ARG80","DBP5","3.52",156,24081
"ARG81","MET7",103,"26.1",21321
"ARG81","YHR078W",103,109,21154
"ARG81","ECM4",103,"21.9",24287
"ARG81","RNR1",103,120,23192
"ARK1","ARC40","12.2","78.7",29100
"ARK1","ERR1","12.2","80.4",21066
"ARL1","SPP382","83.1","0.88",21146
"ARL1","APC11","83.1","1.13",22622
"ARL1","RNR2","83.1",352,23331
"ARL1","GAP1","83.1","11.9",44332
"ARL1","OST1","83.1","52.8",20358
"ARL1","CAN1","83.1","4.97",34793
"ARL3","HUG1","9.7","1.82",21561
"ARO7","GLN1",115,430,23430
"ARO80","MTD1",929,145,24558
"ARO80","YML082W",929,"7.46",20198
"ARP2","ARC40",171,"78.7",38632
"ARP2","VRP1",171,"69.8",48479
"ARP2","SSS1",171,184,22908
"ARP2","ARC35",171,132,104882
"ARP2","LAS17",171,"19.4",54366
"ARP2","ARC18",171,140,23706
"ARP2","ARC19",171,"93.9",22187
"ARP2","INO1",171,108,30311
"ARP2","PGM2",171,289,28853
"ARP2","SRV2",171,255,21349
"ARP2","MYO5",171,"45.1",63927
"ARP2","DBP5",171,156,26737
"ARP2","ARO8",171,343,34667
"ARP2","GLN1",171,430,26310
"ARP2","VAS1",171,324,23201
"ARP2","OYE2",171,647,24421
"ARP2","VMA4",171,907,20921
"ARP2","IPP1",171,1633,30964
"ARP2","CAR2",171,308,20419
"ARP2","CYS4",171,734,23317
"ARP2","RNR1",171,120,29988
"ARP2","RNR2",171,352,56081
"ARP4","RIM1","22.4",351,20349
"ARP4","ECM4","22.4","21.9",23891
"ARP6","APC11","2.0","1.13",21385
"ARP6","RNR1","2.0",120,20738
"ARP9","RTT102","30.5","91.2",21192
"ARV1","ERR1",1,"80.4",26515
"ARX1","REI1",125,"30.5",106925
"ASE1","ERR1",674,"80.4",22528
"ASF2","SRO7","2.8","6.71",20085
"ASF2","MKC7","2.8","13.1",23277
"ASF2","RPT2","2.8",123,21265
"ASF2","SUT1","2.8",255,23981
"ASF2","NAT5","2.8","81.8",20003
"ASF2","YHR078W","2.8",109,25998
"ASF2","LSM1","2.8",1066,22151
"ASH1","GAT2","20.4",65,21160
"ASK10","DBP3","30.2",137,24370
"ASK10","SAM50","30.2","13.5",22133
"ASK10","MBF1","30.2",1007,20795
"ASM4","NDC1",103,"34.3",32944
"ASM4","OPT1",103,"2.94",20565
"ASM4","LYS20",103,440,20888
"ASM4","URE2",103,"27.6",20217
"ASM4","DIG1",103,"64.7",20517
"ASM4","LOS1",103,"11.3",21375
"ASM4","SAM50",103,"13.5",21149
"ASM4","ECM4",103,"21.9",28344
"ASM4","DBP5",103,156,27398
"ASP1","ASP1",108,108,32527
"ASP3-1","PDE2","1.53","10.7",26564
"ASP3-1","HIS2","1.53","13.6",20732
"ASP3-1","SHM1","1.53",323,20670
"ASP3-1","RGD1","1.53","15.7",22759
"ASP3-1","YHR078W","1.53",109,21456
"ASP3-1","DBP5","1.53",156,23940
"ASP3-2","YSC84","1.53","47.9",22061
"ASP3-4","MSH4","1.53",105,23037
"ASP3-4","UBC13","1.53","86.0",21017
"ASP3-4","IDI1","1.53",187,22464
"ASP3-4","LSM1","1.53",1066,20141
"ATF2","ERR1","6.87","80.4",21744
"ATF2","ECM4","6.87","21.9",22513
"ATG11","RIM1","2.13",351,20448
"ATG12","SNT1",314,"5.68",25127
"ATG12","TRM7",314,"25.4",21252
"ATG12","RIM1",314,351,20646
"ATG12","LAG2",314,"5.39",20317
"ATG12","HOT1",314,"3.67",21159
"ATG12","STF2",314,191,21649
"ATG12","SWI4",314,"7.11",21617
"ATG12","URE2",314,"27.6",20019
"ATG12","RAM1",314,"7.21",21558
"ATG12","YHR078W",314,109,24032
"ATG12","LSM1",314,1066,22102
"ATG12","SAM50",314,"13.5",29287
"ATG12","DBP5",314,156,21583
"ATG12","CAR2",314,308,20133
"ATG15","TAF2","2.24","8.01",22654
"ATG16","ATG16","2.53","2.53",21565
"ATG20","PEP1","7.96","26.4",36134
"ATG20","SNX4","7.96","28.3",30051
"ATG20","TVP15","7.96","17.1",23944
"ATG20","ECM4","7.96","21.9",23899
"ATG20","DBP5","7.96",156,22909
"ATG21","CRP1","8.71",278,22509
"ATG26","ECM4","4.27","21.9",20188
"ATG27","VPS17","39.3","13.0",37604
"ATG27","VPS35","39.3","10.1",20385
"ATG27","VPS5","39.3","19.0",58227
"ATG27","MAM3","39.3","23.7",20571
"ATG27","PEP1","39.3","26.4",32680
"ATG27","PMC1","39.3","14.7",50295
"ATG27","SNX3","39.3","51.3",28009
"ATG27","VPS16","39.3","3.62",42377
"ATG27","RBD2","39.3","22.4",28741
"ATG27","COT1","39.3","32.2",27290
"ATG27","TVP15","39.3","17.1",44199
"ATG27","VPS68","39.3","11.3",53474
"ATG27","ATG27","39.3","39.3",86043
"ATG27","ARF1","39.3",797,24993
"ATG27","FTH1","39.3","9.96",36799
"ATG27","YML018C","39.3",881,61926
"ATG27","GAP1","39.3","11.9",21804
"ATG27","CHO1","39.3","37.3",25217
"ATG27","AGP1","39.3","10.6",52564
"ATG27","OST1","39.3","52.8",26644
"ATG27","SAC1","39.3",137,28376
"ATG27","SPF1","39.3",108,30368
"ATG5","LSM1",685,1066,22774
"ATM1","YHR078W","8.76",109,21860
"ATP15","SAM50",458,"13.5",20610
"ATP17","ATP17","60.8","60.8",22829
"ATP18","ATP17","63.8","60.8",22588
"ATP5","ALG5",494,"7.13",23447
"ATX1","RNR2","97.9",352,33337
"AUR1","SEC27","12.1",151,47692
"AUR1","SFT2","12.1","24.8",22743
"AUR1","RET2","12.1",125,69346
"AUR1","RBD2","12.1","22.4",52107
"AUR1","TVP15","12.1","17.1",21274
"AUR1","AKR1","12.1","13.8",27143
"AUR1","KEX1","12.1","21.9",48907
"AUR1","COG3","12.1","11.9",21706
"AUR1","CPR8","12.1","2.67",24581
"AUR1","DOS2","12.1","43.6",38034
"AUR1","ERR1","12.1","80.4",21903
"AUR1","SEC21","12.1",133,21943
"AUR1","SEC26","12.1",105,65162
"AUR1","SAM50","12.1","13.5",25573
"AUR1","GAP1","12.1","11.9",35551
"AUR1","VRG4","12.1","11.8",51454
"AUR1","CAN1","12.1","4.97",21870
"AVO1","YHR078W","5.97",109,22938
"AVO1","LSM1","5.97",1066,24538
"AVO2","ECM4","1.66","21.9",20825
"BAG7","ECI1",181,"9.13",21950
"BAG7","PET191",181,"85.7",22059
"BAG7","GPI1",181,126,22319
"BAG7","MSI1",181,"8.7",21319
"BAG7","GAT2",181,65,20220
"BAG7","RGD1",181,"15.7",20830
"BAP2","HXT1","32.1","46.7",28286
"BAP2","SHR3","32.1","35.7",21438
"BAP2","GAP1","32.1","11.9",47523
"BAP2","HXT3","32.1",142,23309
"BAP2","HXT7","32.1",124,30393
"BAP2","CHO1","32.1","37.3",34351
"BAP2","AGP1","32.1","10.6",56760
"BAP2","OST1","32.1","52.8",39264
"BAP2","SPF1","32.1",108,31118
"BBC1","ARC40",124,"78.7",27305
"BBC1","BBC1",124,124,40486
"BBC1","MID2",124,"7.82",31429
"BBC1","ARC15",124,161,24984
"BBC1","MYO5",124,"45.1",63257
"BBC1","ARO8",124,343,23782
"BBC1","RNR1",124,120,25225
"BBC1","RNR2",124,352,34315
"BBC1","HXT3",124,142,21705
"BBC1","RTN1",124,542,23222
"BBP1","ECM4","2.99","21.9",25084
"BCK2","TAF13","12.8","88.4",20604
"BCS1","ECM4","4.99","21.9",21257
"BCY1","SEC27",149,151,33907
"BCY1","BCY1",149,149,83050
"BCY1","TPK1",149,"33.4",45808
"BCY1","TPK2",149,"61.4",51212
"BCY1","ECM4",149,"21.9",37307
"BCY1","DBP5",149,156,32886
"BCY1","GLN1",149,430,39487
"BCY1","VAS1",149,324,37103
"BCY1","OYE2",149,647,42540
"BCY1","VMA4",149,907,29517
"BCY1","IPP1",149,1633,34461
"BCY1","CAR2",149,308,31339
"BCY1","CYS4",149,734,46895
"BCY1","RNR1",149,120,59267
"BCY1","RNR2",149,352,55976
"BCY1","UBA1",149,284,31166
"BDF2","PEX29","3.08","19.4",21934
"BDF2","STU2","3.08","15.7",20517
"BDP1","SRO7","14.3","6.71",27617
"BDP1","DIA4","14.3","3.32",27532
"BDP1","SYF2","14.3","20.9",27870
"BDP1","DBP10","14.3","39.4",26352
"BDP1","CDC40","14.3","5.16",34223
"BDP1","RPF2","14.3","98.6",29203
"BDP1","ACF2","14.3","7.4",27725
"BDP1","GYL1","14.3","16.1",30044
"BDP1","MSH4","14.3",105,30531
"BDP1","GGC1","14.3",188,28193
"BDP1","SUT1","14.3",255,26301
"BDP1","PRS2","14.3","40.9",27208
"BDP1","UBC13","14.3","86.0",29065
"BDP1","YGL159W","14.3","9.28",27740
"BDP1","NAT5","14.3","81.8",26387
"BDP1","IDI1","14.3",187,33306
"BDP1","YGR201C","14.3","21.4",26362
"BDP1","RRP15","14.3","71.9",31522
"BDP1","TPK2","14.3","61.4",30416
"BDP1","YHR078W","14.3",109,30444
"BDP1","LSM1","14.3",1066,28910
"BDP1","MGM1","14.3","22.5",29431
"BDP1","ECM4","14.3","21.9",26318
"BDP1","YOP1","14.3",186,28119
"BEM1","BOI1","14.8","25.6",23256
"BEM1","SEC5","14.8","5.34",23553
"BEM1","SFK1","14.8","7.29",27129
"BEM1","BEM1","14.8","14.8",25204
"BEM1","CDC24","14.8","14.5",100000
"BEM1","FLC1","14.8","6.34",21074
"BEM1","STE20","14.8","35.0",61788
"BET2","TAF2","5.0","8.01",20430
"BET3","BET3","18.6","18.6",20286
"BFR2","MIF2","60.9","1.37",21920
"BFR2","APN1","60.9","41.3",22153
"BFR2","RPF2","60.9","98.6",25238
"BFR2","PRC1","60.9",149,21298
"BFR2","RPA14","60.9",120,22569
"BIK1","BIK1","8.21","8.21",22016
"BIR1","PDE2","3.83","10.7",21537
"BLM10","ALG5","9.05","7.13",21442
"BNA1","RNR1",157,120,21264
"BNI4","RPN3","8.85","75.8",22609
"BNI4","TAF2","8.85","8.01",20049
"BNI5","BNI5","49.4","49.4",31746
"BNI5","YHR078W","49.4",109,21056
"BNR1","SWE1","1.33","75.1",21934
"BOI1","MID2","25.6","7.82",25719
"BOI1","RIM1","25.6",351,24438
"BOI1","SFK1","25.6","7.29",21418
"BOI1","YDR541C","25.6","2.37",21294
"BOI1","BEM1","25.6","14.8",22433
"BOI1","NPR1","25.6","61.1",21275
"BOI1","ECM4","25.6","21.9",25062
"BOP3","PEX29","7.64","19.4",20258
"BRE1","PRP43","33.4","85.5",20680
"BRE1","NTF2","33.4",486,20463
"BRE1","SSS1","33.4",184,20300
"BRE1","SPP382","33.4","0.88",24152
"BRE1","RPN3","33.4","75.8",22249
"BRE1","PWP1","33.4",103,26037
"BRE1","TAF2","33.4","8.01",25299
"BRE1","SAM50","33.4","13.5",20576
"BRE5","DED1","64.7",399,26749
"BRE5","SRO9","64.7",441,23734
"BRE5","YGR054W","64.7",165,25772
"BRE5","GIS2","64.7",399,50742
"BRE5","BRE5","64.7","64.7",32555
"BRF1","ACF2","6.51","7.4",24543
"BRF1","RIM1","6.51",351,26220
"BRF1","YHR078W","6.51",109,27206
"BRF1","TAF2","6.51","8.01",26611
"BRF1","ECM4","6.51","21.9",36704
"BRF1","DBP5","6.51",156,31885
"BRO1","INO1","28.3",108,21695
"BRO1","YHR078W","28.3",109,20637
"BRO1","DBP5","28.3",156,26353
"BRR1","RIM1","1.38",351,22581
"BRR1","DBP5","1.38",156,20481
"BRR2","RIM1","8.1",351,20397
"BRR2","APT2","8.1","15.5",20416
"BRR2","SAM50","8.1","13.5",23473
"BRR2","ECM4","8.1","21.9",21689
"BSC5","ERR1",112,"80.4",20826
"BSC6","LEM3","7.35","26.3",21485
"BSC6","KEX1","7.35","21.9",35038
"BSC6","ARF1","7.35",797,48829
"BSC6","GAP1","7.35","11.9",48796
"BSD2","CHO1","1.47","37.3",26188
"BSD2","AGP1","1.47","10.6",26872
"BST1","PRP43","0.75","85.5",20757
"BST1","STU2","0.75","15.7",21269
"BST1","TAF2","0.75","8.01",20715
"BST1","ECM4","0.75","21.9",22713
"BUB2","SAM50",467,"13.5",28952
"BUB2","ECM4",467,"21.9",22841
"BUD13","ERR1","26.6","80.4",20116
"BUD6","BUD6","15.0","15.0",39346
"BUD6","SNT1","15.0","5.68",21831
"BUD6","STF2","15.0",191,20410
"BUD6","URE2","15.0","27.6",20313
"BUD6","GAT2","15.0",65,20299
"BUD6","ERR1","15.0","80.4",23516
"BUD6","TAF2","15.0","8.01",24481
"BUD7","SWE1","3.45","75.1",20067
"BUL1","RIM1","15.6",351,23749
"BUL1","ARF3","15.6","35.9",20273
"BUL1","ECM4","15.6","21.9",26894
"BUR6","KAR2","71.9",649,21561
"BUR6","SSE2","71.9",194,21683
"BUR6","NCB2","71.9","69.4",26235
"BUR6","ERR1","71.9","80.4",23407
"BUR6","YNR065C","71.9","4.53",47535
"BUR6","ECM4","71.9","21.9",25026
"BUR6","DBP5","71.9",156,26459
"BZZ1","RIM1","25.5",351,23668
"BZZ1","VPS64","25.5","4.0",25268
"BZZ1","ECM4","25.5","21.9",20593
"CAD1","YPD1","2.67","99.6",21811
"CAD1","PDE2","2.67","10.7",21394
"CAF120","PRP5","7.19",677,21462
"CAF120","BIO3","7.19","3.24",21532
"CAF120","SNO1","7.19","5.08",20167
"CAF120","HNT1","7.19",259,20351
"CAF120","SNQ2","7.19","26.3",22584
"CAF120","CAF130","7.19",904,20386
"CAF120","ERR1","7.19","80.4",20870
"CAF120","LSM1","7.19",1066,20029
"CAF120","ECM4","7.19","21.9",20488
"CAF120","DBP5","7.19",156,20066
"CAF16","NUF2","56.8","7.77",24059
"CAF16","SSS1","56.8",184,24470
"CAF16","YHR078W","56.8",109,23661
"CAF16","DBP5","56.8",156,25660
"CAF20","ADE17",277,351,30437
"CAF20","YGR054W",277,165,36861
"CAF20","FAR7",277,"6.09",42271
"CAF20","SGT1",277,"27.6",46679
"CAF20","ARO8",277,343,46717
"CAF20","GLN1",277,430,33553
"CAF20","VAS1",277,324,62666
"CAF20","OYE2",277,647,35000
"CAF20","VMA4",277,907,22303
"CAF20","IPP1",277,1633,47892
"CAF20","HSP12",277,1942,21275
"CAF20","CAR2",277,308,26020
"CAF20","CYS4",277,734,27996
"CAF20","RNR1",277,120,35804
"CAF20","SAH1",277,1129,22986
"CAF20","MBF1",277,1007,31441
"CAF40","PUB1","17.6",319,25651
"CAF40","PAT1","17.6","44.2",28061
"CAF40","MOT2","17.6","62.0",40117
"CAF40","SSS1","17.6",184,23403
"CAF40","LSM4","17.6",545,34141
"CAF40","BCK2","17.6","12.8",22917
